date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,SV/60,GA/60,GSAA/60,xGSAA/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,over_under,ppg_projection,salary,implied_win_prob,implied_opp_score,proj_FP/60,proj_FP,proj_value
21_03_27,Jake Muzzin,D,TOR,EDM,0.1086792452830189,1.304150943396227,5.7600000000000025,3.912452830188681,0.1977962264150944,0.0,0.0,0.0,0.0,21.29777777777777,0.1279137439887288,0.0,3.6,6.5,10.9,4100,0.5960904848403678,2.9,24.923406897117662,8.846886359332428,2.1577771608127874
21_03_27,Jack Roslovic,C,CBJ,DET,0.4084720121028759,1.6338880484115037,5.854765506807888,2.3146747352496297,0.5800302571860837,0.0,0.0,0.0,0.0,16.75111111111105,0.5878055603093668,0.6089139896155467,3.0,5.5,9.6,4500,0.581316185501215,2.5,31.66217571534561,8.839610390454606,1.964357864545468
21_03_27,Roope Hintz,C,DAL,FLA,1.0906258114775331,0.7790184367696665,6.699558556219133,1.4022331861853998,0.6917683718514641,0.0,0.0,0.0,0.0,16.799444444444486,0.5647573267823094,0.5647573267823094,2.8,5.5,11.3,5500,0.5163595982243688,2.7,31.534822631141935,8.829458347621328,1.6053560632038777
21_03_27,Patrik Laine,W,CBJ,DET,0.8248997517662748,1.0998663356883662,5.9117815543249685,2.062249379415687,0.3712048882948237,0.0,0.0,0.0,0.0,17.0883333333334,0.672453202396552,0.6251002601799031,3.0,5.5,12.2,6800,0.581316185501215,2.5,30.991750447451594,8.826622703825622,1.2980327505625915
21_03_27,Sam Bennett,C,CGY,WPG,0.4924086992203519,0.4924086992203519,9.027492819039784,2.133771029954858,0.7730816577759526,0.0,0.0,0.0,0.0,13.520555555555571,0.5107131654125169,0.5107131654125169,3.1,6.0,4.5,3400,0.5299751303433896,2.9,39.15605347637306,8.823526606060113,2.5951548841353276
21_03_27,Shayne Gostisbehere,D,PHI,NYR,0.2386002120890775,0.3579003181336164,5.726405090137863,4.175503711558858,0.2171261930010606,0.0,0.0,0.0,0.0,19.6222222222222,0.1327215111626349,0.7262899927968134,2.8,6.0,9.8,3800,0.4401984971260817,3.2,26.97170519524142,8.820746550888202,2.321249092339001
21_03_27,Jesse Puljujarvi,W,EDM,TOR,0.8925251022685008,0.5950167348456671,8.776496838973591,1.1900334696913342,1.179620676831535,0.0,0.0,0.0,0.0,14.822777777777786,0.8466178329747531,0.0,2.9,6.5,9.6,4300,0.4039095151596322,3.6,35.69506803416719,8.818334353885326,2.050775431136122
21_03_27,Pekka Rinne,G,NSH,CHI,0.0,0.0,0.0,0.0,0.0,28.30009302515765,3.238502192735856,-0.3172260102429896,-0.7816566656103361,54.34611111111116,0.0,0.0,2.7,5.5,14.1,7500,0.4836404017756313,2.8,9.734746063071471,8.817426519702234,1.1756568692936311
21_03_27,Jordan Staal,C,CAR,TBL,0.7397361607693249,1.035630625077055,4.882258661077545,1.18357785723092,0.4985821723585251,0.0,0.0,0.0,0.0,18.331111111111117,0.7153149190708438,0.8031264167582481,2.7,5.5,10.2,5000,0.4836404017756313,2.8,28.79934794426441,8.798734118231009,1.7597468236462017
21_03_27,David Krejci,C,BOS,BUF,0.0,1.2721847023716044,4.947384953667351,1.2721847023716044,0.3166326370347104,0.0,0.0,0.0,0.0,16.78555555555554,0.7645975195138872,0.6168595801180676,3.6,5.5,10.9,5600,0.7595737309624251,1.9,31.34608619896389,8.769357855699019,1.5659567599462534
