date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,SV/60,GA/60,GSAA/60,xGSAA/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,over_under,ppg_projection,salary,implied_win_prob,proj_FP/60,proj_FP,proj_value
21_03_24,Brad Hunt,D,MIN,ANA,0.3458711629917853,0.1729355814958926,6.571552096843919,3.97751837440553,0.2524859489840033,0.0,0.0,0.0,0.0,13.728333333333346,0.1144651619234547,0.8084394601007918,3.3,5.5,4.8,3500,0.6747695450400617,31.344135463164037,7.171712328057845,2.0490606651593843
21_03_24,Kevin Shattenkirk,D,ANA,MIN,0.1087810479240947,0.7614673354686633,4.024898773191506,4.242460869039696,0.1707862452408287,0.0,0.0,0.0,0.0,21.30222222222227,0.0,0.5678913509994102,2.2,5.5,9.0,3700,0.3252304549599383,20.028371000211855,7.11081349659375,1.9218414855658783
21_03_24,Mason Appleton,W,WPG,VAN,1.2410583469792231,1.0859260536068205,6.515556321640923,2.016719813841238,0.8687408428854565,0.0,0.0,0.0,0.0,14.187222222222283,0.695579274984414,0.0,3.2,6.0,5.2,3500,0.5598015028739183,30.012881885939144,7.0966570807521405,2.027616308786326
21_03_24,Brandon Montour,D,BUF,PIT,0.1048889924829558,0.7342229473806905,4.720004661733011,3.880892721869364,0.2936891789522762,0.0,0.0,0.0,0.0,20.942777777777724,0.1269776042736791,0.0,2.3,6.0,7.2,3700,0.2982254082298447,20.319770987056735,7.092540804621072,1.9169029201678571
21_03_24,Christopher Tanev,D,CGY,OTT,0.2161123784367862,0.2161123784367862,3.890022811862152,4.214191379517331,0.1069756273262091,0.0,0.0,0.0,0.0,22.06777777777786,0.3119692916133537,0.0,3.4,6.0,7.0,3600,0.6184265754438586,19.26660045995088,7.086184291390478,1.9683845253862442
21_03_24,Jake Virtanen,W,VAN,WPG,0.5183087776551323,0.0,6.73801410951672,1.7276959255171074,0.6271536209627101,0.0,0.0,0.0,0.0,12.25666666666668,0.5854571654150174,0.847072215861674,2.8,6.0,7.6,3800,0.4401984971260817,34.62536030340711,7.073191657534894,1.861366225667077
21_03_24,Nick Paul,W,OTT,CGY,0.1456310679611657,0.8737864077669945,6.844660194174789,1.601941747572823,0.5854368932038861,0.0,0.0,0.0,0.0,15.960555555555496,0.8335193011330095,0.0,2.6,6.0,4.7,3600,0.3815734245561414,26.513481563875096,7.052831591190414,1.9591198864417816
21_03_24,Marcus Johansson,W,MIN,ANA,0.7682458386683735,0.9218950064020484,5.685019206145966,2.151088348271446,0.5177976952624838,0.0,0.0,0.0,0.0,15.658888888888884,0.7389362908279485,0.0,3.3,5.5,3.6,4000,0.6747695450400617,26.80567389500083,6.995784485226788,1.748946121306697
21_03_24,Nikita Zaitsev,D,OTT,CGY,0.0,0.6176899539592218,4.838571306013904,4.735622980354035,0.1255969573050417,0.0,0.0,0.0,0.0,22.269444444444428,0.2334525939177106,0.0,2.6,6.0,9.3,3700,0.3815734245561414,18.576353297633197,6.894751129033576,1.8634462510901557
21_03_24,Nick Bonino,C,MIN,ANA,0.3759398496240594,0.7518796992481188,5.263157894736831,5.263157894736831,0.424812030075187,0.0,0.0,0.0,0.0,14.11944444444447,0.8288502370832331,0.0,3.3,5.5,6.4,3700,0.6747695450400617,29.203898173575404,6.872380297050187,1.8574000802838342
21_03_24,Max Comtois,W,ANA,MIN,0.8976809907738424,1.0472944892361495,6.433380433879204,3.4411104646330632,0.7660211121270122,0.0,0.0,0.0,0.0,15.19166666666654,0.0,0.6541081326854034,2.2,5.5,5.4,3700,0.3252304549599383,26.834446632443424,6.794332807075549,1.8363061640744727
