first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Alexander,Kerfoot,W,,3,,,2020-01-29,Main,TOR,DAL,+1.5,6,3,3800,24,3.2,10.1,18.4,8.0,2.11
T.J.,Oshie,W,,2,1,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,7100,4,0.0,7.5,18.1,8.0,1.13
Ondrej,Kase,W,,2,2,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,3400,27,1.6,10.2,17.2,8.0,2.36
Hampus,Lindholm,D,,1,2,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,3800,4,1.6,7.8,17.6,7.9,2.07
Noah,Hanifin,D,,2,2,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,4600,25,3.2,10.7,18.4,7.9,1.72
Mikhail,Sergachev,D,,3,2,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,4600,15,1.6,8.0,16.0,7.9,1.72
Adam,Henrique,W,,3,1,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,4500,29,1.6,7.0,17.3,7.9,1.74
Brock,Boeser,W,,3,1,,2020-01-29,Main,VAN,SJS,+1.5,6,3,6800,29,1.6,4.5,8.0,7.9,1.16
Ondrej,Palat,W,,2,2,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,4400,25,3.2,9.9,24.0,7.7,1.74
Ethan,Bear,D,,1,2,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,3800,10,3.2,9.6,14.4,7.6,2.00
Dustin,Brown,W,,2,2,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,5000,16,1.6,10.4,18.4,7.6,1.52
Timo,Meier,W,,3,2,,2020-01-29,Main,SJS,VAN,-1.5,6,3,5700,8,1.6,8.2,20.0,7.6,1.33
Alex,Killorn,W,,3,1,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,5200,25,0.0,6.4,15.2,7.6,1.46
Calle,Jarnkrok,W,,1,1,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,3600,7,4.8,6.4,11.2,7.6,2.11
Patrick,Marleau,W,,2,2,,2020-01-29,Main,SJS,VAN,-1.5,6,3,4100,8,0.0,12.6,33.6,7.5,1.84
Tyler,Johnson,W,,2,2,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,4400,25,1.6,8.5,15.2,7.5,1.70
Alex,Iafallo,W,,1,1,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,5300,16,1.6,8.8,20.0,7.5,1.42
Rasmus,Sandin,D,,3,2,,2020-01-29,Main,TOR,DAL,+1.5,6,3,3700,30,0.0,12.1,24.8,7.5,2.04
James,Neal,W,,1,1,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,5300,22,0.0,5.4,9.6,7.4,1.40
Lars,Eller,C,,3,2,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,4600,23,0.0,7.4,17.6,7.3,1.58
Oliver,Ekman-Larsson,D,,1,1,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,4800,11,1.6,7.3,15.7,7.3,1.53
Derek,Ryan,C,,3,2,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,3600,22,0.0,6.6,15.2,7.3,2.02
Kevin,Labanc,W,,3,1,,2020-01-29,Main,SJS,VAN,-1.5,6,3,4200,8,3.2,9.9,31.7,7.3,1.75
Christopher,Tanev,D,,2,,,2020-01-29,Main,VAN,SJS,+1.5,6,3,3600,13,4.8,9.0,19.2,7.1,1.96
Sean,Walker,D,,3,2,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,3700,17,4.8,8.4,16.5,7.0,1.90
Mattias,Ekholm,D,,2,2,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,4400,22,1.6,7.1,11.7,7.0,1.60
Phil,Kessel,W,,2,1,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,6200,20,0.0,11.7,42.1,7.0,1.13
Cam,Fowler,D,,2,1,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,4600,4,1.6,6.1,17.6,6.9,1.49
Craig,Smith,W,,4,2,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,4400,7,1.6,7.3,15.7,6.9,1.57
Kevin,Shattenkirk,D,,3,2,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,4300,15,3.2,6.7,12.8,6.8,1.58
Niklas,Hjalmarsson,D,,2,,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,3500,11,1.6,7.7,14.4,6.8,1.94
Nick,Bonino,C,,3,,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,3800,14,0.0,7.0,12.8,6.7,1.75
Dante,Fabbro,D,,2,,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,3500,22,1.6,9.2,20.5,6.7,1.91
Carl,Soderberg,C,,3,2,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,3600,9,3.2,6.5,12.8,6.7,1.87
Alec,Martinez,D,,2,,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,3600,17,0.0,6.9,16.8,6.7,1.85
Andrew,Mangiapane,W,,1,,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,3500,12,1.6,5.4,8.0,6.6,1.89
Evgeny,Kuznetsov,C,,2,2,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,7400,23,3.2,5.1,9.6,6.6,0.90
Adam,Larsson,D,,2,,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,3600,10,3.2,8.0,14.4,6.6,1.83
Jakob,Chychrun,D,,2,2,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,3600,11,4.8,6.4,11.2,6.6,1.84
Jason,Demers,D,,1,,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,3500,11,3.2,6.4,9.6,6.6,1.89
